Summary,Issue Type,Project Key,Description,Priority,Labels,Components,Assignee,Reporter,Due Date,Original Estimate,Environment,Linked Issues,Issue ID,Custom field (WBS Code),Custom field (Dependencies),Custom field (Dependency Type),Custom field (Effort Hours),Custom field (Duration Weeks),Custom field (Resources),Custom field (Deliverables),Custom field (Acceptance Criteria),Custom field (Risks),Custom field (Context)
A001 - Define Project Scope and Objectives,Task,PROJ,"WBS: 1.1.1.1.1
Description: Establish clear project boundaries, objectives, deliverables, and exclusions for the ICT Governance Framework project.
Deliverables: Project scope statement; objectives document.
Acceptance: Scope statement approved; boundaries/exclusions documented; change control defined.
Context: Project start; feeds Charter (generated-documents/project-charter/project-charter.md).",Medium,"activity-list phase-initiation",Initiation,,, , , , ,A001,1.1.1.1.1,,FS,40,1,"Project Manager (0.5 FTE); Business Analyst (0.5 FTE)","Project scope statement; objectives document","Scope statement approved; boundaries/exclusions documented; change control defined","Scope creep → Mitigate via change control and baseline freeze","Project start; feeds Charter (generated-documents/project-charter/project-charter.md)"
A002 - Develop Business Case and Value Proposition,Task,PROJ,"WBS: 1.1.1.1.2
Description: Create comprehensive business case demonstrating ROI, cost-benefit analysis, and value realization plan.
Deliverables: Business case document; ROI calculation; value realization plan.
Acceptance: Business case approved by Sponsor & Finance; ROI/NPV included; assumptions logged.
Context: After A001; aligns to generated-documents/core-analysis/business-case.md.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A001",,A002,1.1.1.1.2,A001,FS,60,1.5,"Business Analyst (0.7 FTE); Finance Analyst (0.3 FTE)","Business case; ROI calc; value plan","Sponsor/Finance approve ROI/NPV; assumptions logged","Benefits overstatement → Independent review","Aligns to core-analysis/business-case.md"
A003 - Identify Key Stakeholders and Sponsors,Task,PROJ,"WBS: 1.1.1.1.3
Description: Comprehensive identification and analysis of all project stakeholders, sponsors, and governance bodies.
Deliverables: Stakeholder register; sponsor identification; governance structure.
Acceptance: Stakeholder register completed (>95% coverage); governance bodies identified.
Context: After A001; creates generated-documents/stakeholder-management/stakeholder-register.md.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A001",,A003,1.1.1.1.3,A001,FS,32,1,"Project Manager (0.5 FTE); Business Analyst (0.3 FTE)","Stakeholder register; sponsor list; governance structure","Register >95% coverage; governance bodies identified","Missed stakeholders → Cross-verify with org charts","Creates stakeholder-register.md"
A004 - Define Success Criteria and KPIs,Task,PROJ,"WBS: 1.1.1.1.4
Description: Establish measurable success criteria, key performance indicators, and project success metrics.
Deliverables: Success criteria document; KPI framework; measurement plan.
Acceptance: KPI set baselined; data sources/owners defined; review cadence scheduled.
Context: After A002; references Target-Governance-Framework-KPIs-Metrics.md; ICT-Governance-Metrics.md; ICT-Governance-Transparency-Dashboard.md.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A002",,A004,1.1.1.1.4,A002,FS,48,1.5,"Business Analyst (0.6 FTE); Performance Manager (0.2 FTE)","Success criteria; KPI framework; measurement plan","KPI set baselined; owners/sources defined; cadence set","Unmeasurable KPIs → Align to metrics doc","References KPI and dashboard docs"
A005 - Analyze Organizational Strategic Objectives,Task,PROJ,"WBS: 1.1.1.2.1
Description: Review and analyze organizational strategic plan, goals, and objectives to ensure project alignment.
Deliverables: Strategic alignment analysis; organizational context assessment.
Acceptance: Alignment matrix produced and approved.
Context: After A003; cross-check strategic business case.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A003",,A005,1.1.1.2.1,A003,FS,56,1.5,"Business Analyst (0.7 FTE); Strategy Consultant (0.3 FTE)","Alignment analysis; context assessment","Alignment matrix approved","Conflicting objectives → Escalate to Sponsor","Cross-check strategic business case"
A006 - Map Governance Requirements to Business Goals,Task,PROJ,"WBS: 1.1.1.2.2
Description: Establish linkages between governance requirements and organizational business objectives.
Deliverables: Governance-to-business mapping; requirement justification.
Acceptance: Governance-to-business mapping signed off; RTM entries created.
Context: After A005; trace to requirements and controls.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A005",,A006,1.1.1.2.2,A005,FS,64,2,"Business Analyst (0.5 FTE); Governance Consultant (0.5 FTE)","Gov-to-business mapping; justification","Mapping signed off; RTM entries created","Weak traceability → RTM audit","Trace to requirements/controls"
A007 - Identify Regulatory and Compliance Requirements,Task,PROJ,"WBS: 1.1.1.2.3
Description: Identification of applicable regulatory, compliance, and audit requirements.
Deliverables: Regulatory requirements matrix; compliance assessment.
Acceptance: Regulatory matrix complete; legal review sign-off.
Context: After A005; reference scope-management/compliance-considerations.md.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A005",,A007,1.1.1.2.3,A005,FS,72,2,"Compliance Officer (0.8 FTE); Legal Counsel (0.2 FTE)","Regulatory matrix; compliance assessment","Legal sign-off on applicability","Late regulatory change → Watchlist with triggers","Reference compliance considerations"
A008 - Validate Strategic Fit and Priority,Task,PROJ,"WBS: 1.1.1.2.4
Description: Executive validation of project strategic fit, priority level, and resource allocation approval.
Deliverables: Strategic fit validation; executive approval; priority confirmation.
Acceptance: Executive decision minute recorded; budget/resources confirmed.
Context: After A006, A007; stage gate entry.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A006; is blocked by: A007",,A008,1.1.1.2.4,A006;A007,FS,24,1,"Executive Sponsor (0.3 FTE); Project Manager (0.3 FTE)","Fit validation; approval; priority","Decision minute recorded; budget/resources confirmed","Delayed gate → Timebox gate reviews","Stage gate entry"
A009 - Identify All Project Stakeholders,Task,PROJ,"WBS: 1.1.2.1.1
Description: Systematic identification of all internal and external stakeholders.
Deliverables: Complete stakeholder list; stakeholder categorization.
Acceptance: Stakeholder list validated by PMO.
Context: After A003.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A003",,A009,1.1.2.1.1,A003,FS,40,1,"Project Manager (0.4 FTE); Business Analyst (0.6 FTE)","Stakeholder list; categorization","List validated by PMO","Stakeholder churn → Maintain register versioning","—"
A010 - Analyze Stakeholder Influence and Interest,Task,PROJ,"WBS: 1.1.2.1.2
Description: Analysis of stakeholder influence, interest, expectations, and potential impact.
Deliverables: Influence/interest matrix; stakeholder profiles.
Acceptance: Grid approved by PM & Sponsor.
Context: After A009.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A009",,A010,1.1.2.1.2,A009,FS,48,1.5,"Business Analyst (0.6 FTE); Change Manager (0.4 FTE)","Influence/interest matrix; profiles","Grid approved by PM & Sponsor","Bias → Peer review","—"
